Replicate #,Temperature (C),pH,Growth Rate (1/hr),Biological Replicates,Alignment
1.0,42.0,7.0,0.95,1.0,98.4
1.0,42.0,7.0,0.98,1.0,96.91
1.0,42.0,7.0,0.97,1.0,97.51
1.0,42.0,7.0,0.92,1.0,97.13
1.0,42.0,7.0,1.03,1.0,97.07
1.0,42.0,7.0,0.94,1.0,97.06
1.0,42.0,7.0,0.97,1.0,97.77
1.0,42.0,7.0,0.95,1.0,97.04
1.0,42.0,7.0,0.92,1.0,96.38
1.0,42.0,7.0,0.82,1.0,98.37
1.5,37.0,7.0,0.08,2.0,98.63499999999999
1.5,37.0,7.0,0.69,2.0,98.71000000000001
1.5,37.0,7.0,0.67,2.0,98.71
1.5,37.0,7.0,0.25,2.0,96.19
1.5,37.0,7.0,0.53,2.0,97.68
1.5,37.0,7.0,0.9,2.0,93.22999999999999
1.5,37.0,7.0,0.95,2.0,93.38499999999999
1.5,37.0,7.0,0.98,2.0,93.765
1.5,37.0,7.0,0.58,2.0,93.17
1.5,37.0,7.0,0.46,2.0,94.755
1.5,37.0,7.0,0.58,2.0,95.295
1.5,37.0,7.0,0.41,2.0,86.205
1.5,37.0,7.0,0.39,2.0,89.245
1.5,37.0,7.0,0.5,2.0,87.92
1.5,37.0,7.0,0.5,2.0,89.32
1.5,37.0,7.0,0.54,2.0,87.38
1.5,37.0,7.0,0.52,2.0,88.41999999999999
1.5,37.0,7.0,0.619469027,2.0,93.02
1.5,37.0,7.0,1.060606061,2.0,92.865
1.0,37.0,7.0,1.02,1.0,98.42
1.0,37.0,7.0,1.01,1.0,98.88
1.0,37.0,7.0,0.98,1.0,98.94
1.0,37.0,7.0,1.01,1.0,98.99
1.0,37.0,7.0,1.0,1.0,98.06
1.0,37.0,7.0,0.99,1.0,96.96
1.0,37.0,7.0,1.01,1.0,97.96
1.5,37.0,7.0,0.778,2.0,92.71
1.5,37.0,7.0,0.27,2.0,95.91
1.5,37.0,7.0,0.657,2.0,93.745
1.5,37.0,7.0,0.31,2.0,95.83500000000001
1.5,37.0,7.0,0.07,2.0,95.845
1.5,37.0,7.0,0.29,2.0,95.37
1.5,37.0,7.0,0.74,2.0,95.55000000000001
1.5,37.0,7.0,0.35,2.0,94.08000000000001
1.5,37.0,7.0,0.63,2.0,96.38
1.5,37.0,7.0,0.34,2.0,96.05000000000001
1.5,37.0,7.0,0.57,2.0,95.44
1.5,37.0,7.0,0.27,2.0,93.865
3.5,37.0,7.0,0.6226666666666667,3.3333333333333335,95.16666666666667
1.5,37.0,7.0,0.203,2.0,97.92
1.5,37.0,7.0,0.309,2.0,98.13
1.5,37.0,7.0,0.6075,2.0,97.875
1.5,37.0,7.0,0.3726,2.0,97.475
1.0,37.0,7.0,0.43,1.0,97.36
1.5,37.0,7.0,0.3,2.0,98.19
1.5,37.0,7.0,0.42,2.0,97.755
1.5,37.0,7.0,0.27,2.0,97.53
1.5,37.0,7.0,0.56,2.0,98.12
1.5,37.0,7.0,0.45,2.0,97.66
1.0,37.0,7.0,0.25,1.0,97.44
1.5,37.0,7.0,0.53,2.0,97.66
1.5,37.0,7.0,0.28,2.0,97.41499999999999
1.5,37.0,7.0,0.16,2.0,98.12
1.5,37.0,7.0,0.41,2.0,98.08500000000001
1.5,37.0,7.0,0.22,2.0,97.65
1.0,37.0,7.0,0.18,1.0,93.97
1.0,37.0,7.0,0.67,1.0,92.57
1.0,37.0,7.0,0.6,1.0,90.17
1.0,37.0,7.0,0.65,1.0,95.97
1.0,37.0,7.0,0.62,1.0,92.92
1.0,37.0,7.0,0.68,1.0,86.39
1.0,37.0,7.0,0.66,1.0,95.15
1.0,37.0,7.0,0.68,1.0,95.25
1.0,37.0,7.0,0.85,1.0,87.63
1.5,37.0,7.0,1.34,2.0,98.57499999999999
1.5,37.0,7.0,0.88,2.0,97.22
1.5,37.0,7.0,1.4,2.0,98.53999999999999
1.5,37.0,7.0,1.42,2.0,98.38499999999999
1.0,37.0,7.0,0.386,1.0,98.1
1.0,37.0,7.0,0.902,1.0,98.06
1.0,37.0,7.0,0.932,1.0,98.34
1.0,37.0,7.0,0.845,1.0,97.8
1.0,37.0,7.0,0.956,1.0,98.26
1.0,37.0,7.0,0.745,1.0,98.13
1.0,37.0,7.0,0.27,1.0,98.19
1.0,37.0,7.0,0.73,1.0,95.37
1.0,37.0,7.0,0.45,1.0,98.01
1.0,37.0,7.0,0.55,1.0,97.99
1.0,37.0,7.0,0.761,1.0,98.15
1.0,37.0,7.0,0.735,1.0,98.31
1.0,37.0,7.0,0.705,1.0,98.06
1.5,37.0,7.0,0.66,2.0,95.055
1.5,37.0,7.0,0.62,2.0,94.86
1.5,37.0,7.0,0.655,2.0,94.695
1.5,37.0,7.0,0.665,2.0,95.79499999999999
1.5,37.0,5.5,0.385,2.0,94.37
1.5,37.0,8.5,0.52,2.0,95.325
1.5,37.0,7.0,0.65,2.0,95.245
1.5,37.0,7.0,0.675,2.0,95.735
1.5,37.0,7.0,0.655,2.0,95.11
1.5,37.0,7.0,0.66,2.0,94.85
1.5,37.0,7.0,0.665,2.0,94.435
1.5,37.0,7.0,0.685,2.0,96.375
1.5,37.0,5.5,0.485,2.0,94.815
1.5,37.0,8.5,0.65,2.0,94.72999999999999
