gene,average,median,max,min,growth_correlation
b0002,10.018710010851727,10.5266921676249,12.379586139738,0.0,0.18700343299092462
b0003,9.809392991736273,10.1195018376834,11.8839051312064,7.26520550660544,0.1715812304695024
b0004,9.90580675876621,10.190627325177,11.9927696226396,7.37195118355957,0.13772078469327437
b0005,5.4872607264906375,5.72766076140642,7.5516873176697,1.75187040715546,0.3434974718540795
b0006,6.855512497527104,6.84338441855307,8.3712872437542,5.28592728503855,0.319636348408072
b0007,3.902170033425056,3.64043808298544,6.24033167750185,2.03252432280794,0.1309579691965776
b0008,11.123184273730432,11.1594314042467,12.0532538754942,10.0711117626783,0.26145921070962785
b0009,6.358911806921811,6.29101761770886,7.56018993479121,5.16772496740783,0.15684654624281175
b0010,5.18955212235913,5.21883994223142,6.47525008714748,3.64675740792473,-0.17302676199579328
b0011,2.5873226916981586,2.59361316616422,4.26717299062675,0.0,-0.27490253798340103
b0014,10.577322596843556,10.6223325197592,11.828246109514,8.76566880048772,0.046444800426920625
b0015,8.116795727256523,8.05144635784583,9.70265341867143,6.36317588331694,0.07169233582597048
b0016,6.152786158776228,6.15178426646071,8.29779052180871,5.02521284989031,-0.10472278916208279
b0018,2.15693238167356,2.30957991574315,6.73484150718271,0.0,-0.24715013280051432
b0019,6.219659122921227,6.25068691749476,8.68533428547244,4.08622321688745,-0.3323887881199612
b0020,5.575556438781907,5.6011644192363,6.74800507888467,4.31815662943823,-0.25380844240688544
b0021,2.5148537067870853,2.37607255597537,4.96803470701193,0.0,0.08324151834115567
b0022,3.2471991617468583,3.2077569275019,5.79613227207645,0.0,0.04727997760506215
b0023,10.519101901315132,10.574330454236,12.5932943763698,7.50541909338471,0.05866980080884807
b0025,8.352928655069412,8.39260098867821,9.0122114435045,7.27021886115444,0.3192955414564044
b0026,9.44965913816571,9.46699352538029,10.7375596065568,8.3355034281963,0.43551882642629125
b0027,7.42875437531242,7.38666091202558,8.60618221022044,5.97929849898079,0.4110375270648342
b0028,7.206609642500589,7.14364752270392,9.47902773722733,5.82069049785631,0.20367968112146248
b0029,7.638427610814787,7.70122591719053,8.44840979831285,6.44026254430423,0.20403208014631607
b0030,5.5102002509756565,5.4024555952779,8.89743451524993,2.21805179914423,-0.1761867611462896
b0031,8.453545542463065,8.54086787020044,10.8178808904908,6.442287505154,0.41769137707358306
b0032,8.542303553118414,8.96547273449433,11.2528745685724,3.13066357515112,0.007755096961416138
b0033,8.87015288364053,9.04593226523858,11.6764959667093,3.88720352572943,0.21910873053199295
b0034,4.73384638712206,4.91427824604693,7.63003793490075,0.0,0.16331791572966087
b0036,1.6482554394419124,1.613331701549,3.30445193762353,0.0,-0.045113712223138425
b0037,3.2578097234056456,3.27869361774608,4.90456408520999,1.97347539650085,0.08385126139073786
