Gene	42C glucose	Acetate	Fructose	Fumarate	Galactose 	Glucosamine	Glucose	Glycerol	Glycerol + AA	LB	Mannose	Osmotic-stress glucose	Pyruvate	Succinate	Xylose	Chemostat u=0.12	Chemostat u=0.20	Chemostat u=0.35	Chemostat u=0.5	pH6 glucose
rpoC	2.8793615704791127	2.75854392376075	2.9430264664238996	2.7477709833671145	2.776118205899142	2.8548285080287616	2.741247936261818	2.7885551945108946	2.8049749501104335	2.9351411950568997	2.8782608913965975	2.629650036390966	2.8154633958134325	2.794840393379788	2.8682320748653285	2.9862593486151363	3.0083092620984586	2.9922612910061295	3.0231853945131544	2.7846240106331845
rpoB	2.9710934916845226	2.845176050391545	3.009955026176509	2.864590470548838	2.8726799358833097	2.9362176259243213	2.894848240806345	2.9084360658757156	2.8673552697139475	3.028790309697473	2.963902780881798	2.790295010122424	2.949216449197851	2.9393286824822984	2.9552331074307476	3.0476601194106268	3.0536534378824767	3.043443135296522	3.0634420819479296	2.866446065351023
acnB	2.9639023923574803	3.778861374655524	3.231802582417209	3.6494505530240975	3.5321190473660655	3.4726476848458496	3.177993281352562	3.3676523004213252	3.3957082259973377	3.3000642226414887	3.5645272457495683	2.72728658208539	3.5940412385713785	3.6443707143016035	3.134051652096587	3.647923359333045	3.682207956296688	3.707807867561212	3.540531857897162	2.9283145194768214
purL	2.5543167052458275	2.577746145053142	2.6694361663355353	2.675890282979151	2.618398910191088	2.6262783086207486	2.6877099033050023	2.65003621492831	2.520506722077275	1.9941403616019466	2.593166880770876	2.3978405910453233	2.811988268784671	2.635109766068262	2.543861297003765	2.59513402792183	2.633818411658923	2.639276382515915	2.7026476446088745	2.493506292156517
gltB	2.7530155905730567	2.554461731777985	2.874572130261613	2.467063482011601	2.567901452095825	2.630325458350143	2.753638127213192	2.6777303333220552	1.965687133181684	1.86122027981613	2.6643544382038433	2.198829667771637	2.607411076010512	2.544423893998871	2.70541036773666	2.6487648223480216	2.7153733101419877	2.6932856320186933	2.7094676397949207	2.6960857605780926
aceE	3.122915099959656	2.808408817164234	3.261946732936251	3.014874586017866	2.9359939035619584	2.957324156493078	3.0619553371705166	2.943802936055402	2.9756845961564995	3.152570460980475	3.0371978834794033	3.0760269102886135	3.5777336358783494	3.028951416093485	3.318548649275673	3.189901440240297	3.1114557898872515	3.1233959086697722	3.1133739697791154	3.236813644492058
adhE	3.2345204540767054	3.0742976378213633	3.589098024540884	2.9624416895172767	3.22334174668364	3.2011866747080613	2.9832731785207125	3.049342333150978	2.9023259046875514	2.8180804514480657	3.123098492118808	2.9951798806284295	2.8968266515220344	2.960991783465213	3.2319648708965607	3.412796220988568	3.361287589167206	3.28409208739634	3.358812193749584	3.215947736376567
tufA	4.67723593370952	4.594084675785456	4.655762792209561	4.638943273644752	4.5693714427832	4.574148041458637	4.6996134219350285	4.6156695387665545	4.718366611519784	4.727201914409675	4.629937936313966	4.609279413458379	4.6517063900947	4.64528379018687	4.644129333467173	4.518358595152653	4.518719667198442	4.554186770557863	4.600957830670631	4.545046013067931
metE	3.788925591989974	3.660973400733161	3.87755550987324	3.654489103839934	3.4890439325207376	3.7140749858355666	4.009951163448684	3.794056219867021	2.3794778216205827	2.3132520304739543	3.7721885569725835	3.7565798251762192	3.649845279224273	3.6362590483033066	3.8238865205743218	3.1369217236832334	3.385937791609362	3.523941164331886	3.7784107546174948	3.671633299509108
groL	4.094658749961025	3.711009533910789	3.6844964276133867	3.7815636075105803	3.616380439635266	3.6976897256896457	3.654212025725539	3.7554499564023556	3.9097741440109255	3.898760299291545	3.7817894961793823	3.6373286674542524	3.739522249303092	3.7788068225874287	3.7302102560551647	3.7391413100103756	3.717791481454783	3.775926402447722	3.7579222191338806	3.689436580020494
