Gene	NH4_0.05_7.5_0.5	NH4_0.1_7.5_5.0	NH4_0.1_7.5_0.5	NH4_0.13_7.5_0.5	NH4_0.18_7.5_0.5	NH4_0.3_7.5_0.5	NH4_0.35_7.5_0.5	Gln_0.1_7.5_5.53	Gln_0.1_1.21_5.53	Gln_0.1_6.87_0.55	Phe_0.1_7.5_12.35	Phe_0.1_7.5_1.24	Ile_0.1_7.5_9.81	Ile_0.1_7.5_0.98
SAL1	-13.867569077877675	-13.723941741066113	-13.665067482344158	-13.531251577798187	-13.530445667670113	-13.78014565685537	-13.950916330905308	-13.80092383781396	-13.721482531193113	-13.592165811354898	-13.33626054208286	-13.571354938733814	-13.549959812779337	-13.799270304929783
CET1	-10.297530580140084	-10.463531756534527	-10.379920724849347	-10.320410495315059	-10.347454174987988	-10.593059174499164	-10.68381080909333	-10.87635990364537	-10.508406859617736	-10.513380279736467	-10.624989215123096	-10.481689198715856	-10.41916915220837	-10.43212064969754
FOB1	-15.072148994292059	-15.294928443514678	-15.114087179474973	-15.124578160294819	-14.966653866029782	-14.79205354259137	-14.824975684341046	-16.23409669173294	-15.184307815114844	-15.287343216387725	-15.29991606899795	-15.191975407461504	-15.375054635609809	-15.499361325873556
RPS9A	-6.1429114187741725	-6.12442417478264	-6.099314755606695	-5.963813250657928	-5.831366345266205	-5.559127282650717	-5.432274253612568	-6.135350212583041	-6.005868226428635	-5.9774330867474665	-6.014127801212809	-5.990873904101086	-5.972641544877263	-6.004392355821042
COQ4	-13.836921569509192	-11.349858262526661	-10.765974151246168	-10.720650271869777	-13.623564224102267	-14.100609762363645	-14.359708433667542	-14.55858498289698	-14.019750465355846	-10.54679514905361	-13.99175830760992	-10.512825257294326	-13.994481405828653	-13.852794914207047
THP2	-11.177525233179999	-11.422368972403126	-11.515882858054768	-11.498986042353883	-11.53253731720276	-11.632527667672193	-11.740003482388992	-11.169700149921413	-11.473901665831283	-11.59655004538625	-11.68231034037226	-11.41473666609692	-11.443189281457512	-11.746975123614488
RPN13	-8.505809871548763	-9.204620635874212	-8.539519502605556	-8.226315759141093	-8.386894704423517	-8.53507251077324	-8.569960064339448	-10.475561279142019	-9.11703482356162	-8.534344624799076	-9.227525036491908	-8.718339869256747	-9.001066641310723	-8.650227165039285
YPR089W	-15.830550836256208	-15.939641054957653	-15.773035028779091	-15.506101794450261	-15.482689308571805	-15.46722030864408	-15.586366485925403	-16.390013775527375	-16.075331033144476	-15.62808992875359	-15.908347227204873	-15.680447454955756	-15.984124111171894	-15.620573270911665
RPL36B	-5.70849108953495	-5.503137863226532	-5.545792873279379	-5.3899380169003335	-5.199507520397938	-5.095930899546247	-4.913052903385673	-5.27207324021099	-5.407684609228679	-5.426308509695929	-5.467656248214003	-5.5126491197308845	-5.3541979610244965	-5.471449636258598
MBF1	-6.560446075453026	-6.949747685648489	-6.68321092867292	-6.962792019614838	-7.072234109604622	-7.219621006108238	-7.228642122386964	-7.1145021045731545	-6.836545309581738	-6.945322788801344	-7.143473043046851	-6.932110262751777	-6.841150824648995	-6.998687755576999
YBR085C-A	-16.420357529882768	-13.81038074253533	-13.604882774930788	-16.75711300161606	-13.73201418948396	-20.23991976135483	-17.259784485766236	-17.28032172048378	-16.858672438495464	-13.768861577532675	-20.194326575501936	-16.637571731808965	-16.801498102853174	-17.13841123680429
MDM35	-8.355531239084948	-7.858429184345607	-8.174629058527247	-8.14283356011466	-7.992653566516542	-8.138914041306977	-8.391025141070957	-7.599992304945343	-7.762845381286998	-8.064224942115926	-7.628320488923033	-7.976916589704497	-7.846934474406672	-8.172818716279519
TIM9	-7.697719573753507	-7.970973993661318	-7.471835329727196	-7.30742934765389	-7.372516386973643	-7.069384545450628	-7.034181822970832	-8.208975025412117	-7.576100408621247	-6.691530884630023	-7.595454684879591	-6.761506027146107	-7.62801229560633	-6.44125747108516
MRP10	-9.590780020741851	-8.929953679491524	-9.533010062747953	-9.446552989500136	-9.140072109295774	-9.101188725912321	-9.305394456967925	-8.756103684323888	-9.076810123099092	-9.436907660218429	-8.798774428770935	-9.324171639259397	-9.0126920111639	-9.412047668095862
CYC1	-9.049146392440441	-8.50671411372745	-8.76337303832828	-8.602624409073364	-8.504685176254315	-8.548173719768412	-8.677524618683625	-8.318220755420905	-8.411572115578018	-8.568428438519517	-7.79273058986655	-8.484166954332926	-8.513130226113566	-8.535270474576063
QCR7	-6.67972449657933	-6.8864176063822695	-6.51755120615902	-6.137698626009282	-6.231055769837583	-6.412285193738356	-6.501480547540139	-7.086424446149152	-6.437380549608446	-5.969190686346065	-6.194044406556601	-5.9814758625042534	-6.433991657180026	-5.970404877259969
CYB2	-10.64053475466091	-9.856592113987318	-11.624009793821537	-11.51013598221548	-11.220312911254652	-11.10329680500645	-11.329749558391727	-10.362242109110824	-10.342010828747123	-10.881642640062667	-9.402315933653012	-10.842753775459082	-10.270238184446214	-11.037143380136103
ADH1	-4.582175836545055	-3.89639325356071	-4.655316564581365	-4.699733147045129	-4.851938777953053	-4.96993207087372	-4.8921628866585305	-3.615951583161183	-4.369291609174131	-4.672961112115442	-4.621319916200154	-4.801300770876774	-4.245219121184402	-4.406682507454421
