Gene	NH4_0.05_7.5_0.5	NH4_0.1_7.5_5.0	NH4_0.1_7.5_0.5	NH4_0.13_7.5_0.5	NH4_0.18_7.5_0.5	NH4_0.3_7.5_0.5	NH4_0.35_7.5_0.5	Gln_0.1_7.5_5.53	Gln_0.1_1.21_5.53	Gln_0.1_6.87_0.55	Phe_0.1_7.5_12.35	Phe_0.1_7.5_1.24	Ile_0.1_7.5_9.81	Ile_0.1_7.5_0.98
SAL1	-9.529878655086714	-9.462814149865638	-9.358982778698014	-9.349309549839413	-9.222957788722775	-9.3519822358798	-9.339676175317686	-9.418705196420106	-9.529774549668774	-9.331295886644044	-9.294118593941052	-9.29922325149384	-9.31794656122268	-9.363820821107625
CET1	-9.169021573637691	-9.139244577335914	-9.078706356993408	-9.031128943092785	-9.071169830791005	-9.227226753785144	-9.302234894444437	-9.106037582731927	-9.220857835473586	-9.136797459157455	-9.27680025348604	-9.180332821511877	-9.150938963707725	-9.142974939536986
FOB1	-9.54505468262901	-9.351033172563973	-9.29446129838231	-9.243162342949178	-9.14969439555302	-9.159748114886296	-9.130156189648169	-9.370799613576326	-9.551953725143605	-9.412692334253459	-9.515242284752835	-9.376875747867281	-9.266782121073467	-9.382778783317088
RPS9A	-8.067466659847856	-7.485624188246601	-7.452787454629167	-7.326447727350598	-7.24692325761337	-7.158719725966908	-7.136058095294725	-7.483617560580683	-7.76680838797489	-7.592273414891171	-7.685154226639038	-7.645900686650481	-7.438961703192649	-7.538191002893131
COQ4	-8.303525304001043	-8.475348983125253	-8.614872299033747	-8.736972834838289	-8.886611831173092	-9.258626432210283	-9.339141144131096	-8.471156159703632	-8.456111366425722	-8.63365874360134	-8.572922285278775	-8.657926806571995	-8.69681286260336	-8.607753997422314
THP2	-9.82944713728441	-9.681906550057512	-9.619378872238272	-9.681090541608006	-9.633861522682386	-9.378408955214502	-9.42958413319551	-9.788087788382633	-9.91671148506862	-9.799302748908287	-9.937286989287326	-9.73521515407998	-9.745085300216866	-9.830153992728993
RPN13	-7.807262498646068	-7.938841898090417	-7.846078880289799	-7.828009925255976	-7.819102112730417	-7.883499516093064	-7.9890889118931225	-7.9338701822777695	-7.930460561527565	-7.861593237798149	-8.20007986034525	-8.080764051674798	-7.9325030212625975	-7.857323664904005
YPR089W	-8.944161133314475	-9.01790987422491	-8.795709534807067	-8.742161028334829	-8.73911363726371	-8.78454837782539	-8.823679629011446	-8.996148555869205	-9.086543556557181	-8.83924238300437	-9.032465410256895	-8.920548968984539	-8.882361709732196	-8.848333166154918
RPL36B	-7.158268595004446	-6.406018409650844	-6.688054849703452	-6.6213643218012	-6.449889212230801	-6.07522965175944	-6.042203229005616	-6.3777061730460884	-6.529676358565482	-6.813034207855364	-6.516564917893109	-6.701108615005374	-6.622650312135328	-6.755461530129338
MBF1	-5.840488932053052	-6.26448609991387	-6.134684325007091	-6.236729906541246	-6.415440469079023	-6.465810827086419	-6.394864919252552	-6.2383466915631045	-6.12695052786876	-6.19750700000094	-6.7199085531764275	-6.567766449920911	-6.2430957500673765	-6.095351107918745
YBR085C-A	-4.955964049292384	-5.213664883024059	-5.092168440388171	-5.202126316856444	-5.494527113160859	-6.127370790049682	-6.370624579588804	-5.553241702781292	-4.782556848957544	-5.055757875581549	-6.049683227097577	-5.451983491202534	-5.731383187676092	-5.190051028378666
MDM35	-8.568715427816091	-8.46367804159428	-8.560630086543801	-8.413019332158399	-8.294348083250794	-8.083557778512306	-8.109570715372884	-8.301875445232946	-8.254953898376362	-8.55216301753247	-8.097092626728271	-8.340537982893267	-8.485046775848467	-8.504703619965506
TIM9	-7.536732224130266	-7.417569247790701	-7.4116852891904275	-7.296778745265221	-7.1931486979930455	-6.837525599102922	-6.892344975989739	-7.355941213054177	-7.362958210617723	-7.41275206456578	-7.267002512310128	-7.2945083779647915	-7.206584330403822	-7.373682462389755
MRP10	-8.335702120621335	-8.10614768090367	-8.24093556650253	-8.146878686436507	-8.036794311529915	-7.767123922687137	-7.7598529842834685	-7.906305155695491	-7.849494227486332	-8.244998831474213	-7.7976851799176385	-8.019151908144257	-7.942874438397229	-8.196569626106431
CYC1	-7.14819018324852	-6.544994195421758	-6.759189441542097	-6.427517684230396	-6.1736914620493915	-5.912801487816663	-5.84178740578817	-6.337008991637575	-6.414579770557346	-6.653657740327389	-5.619143642140127	-6.10100980509304	-6.288259671519537	-6.50113602734287
QCR7	-5.658681676500315	-5.657027620035791	-5.513700722473587	-5.331348167930336	-5.241802730160358	-5.399215730654325	-5.546469857041154	-5.601525674950525	-5.600751843670757	-5.480264878607289	-5.196344145209165	-5.267433162267722	-5.300234609232984	-5.388775486607551
CYB2	-7.395856170887316	-7.129096898620955	-8.885879757836209	-8.827737050549947	-8.573493856182152	-8.299382859166611	-8.308353335243046	-6.994407974363013	-7.5072738471211755	-8.740277078697515	-6.754284707451608	-8.048864187307926	-7.716045780565762	-8.528394273870225
ADH1	-6.230040294385655	-6.620660390603899	-6.1589651876352605	-6.38309203962022	-6.488948273013119	-6.368268831379766	-6.238834567751449	-6.492470569517721	-5.640922179205922	-6.07185636352738	-7.171764559601665	-6.395595312860508	-6.542373775386994	-6.336257378857368
ADH2	-6.309122003944008	-5.671293925002517	-9.476928215401188	-10.015872316880118	-10.083724611303621	-10.165131598022176	-10.255156376771028	-5.377207328803464	-5.774826736718031	-9.465208088858738	-5.824329548454943	-8.778787471961726	-7.026514449709945	-9.604581941985833
TDH3	-4.901263264143982	-5.10932435080169	-5.278658982465105	-5.427549517612697	-5.56602167073184	-5.5174331664999245	-5.37258100131924	-5.125516526039795	-4.931641037426432	-5.16684401078712	-5.712069634984066	-5.549239680316883	-5.504878517703439	-5.249615289898908
TDH1	-7.009255206675518	-6.903248530291253	-8.138863152042576	-8.512038221482463	-9.11006236100175	-9.832409665989603	-9.88034104413583	-7.044501580354129	-6.227400176081782	-7.942077318058884	-7.96285265656627	-7.469971948638368	-7.758472927261331	-7.356330834227319
COX5A	-5.9088145674315955	-5.910598752880605	-5.674039389267585	-5.546202731466082	-5.524930152826123	-5.6559571090205125	-5.672198408096167	-5.888779925686499	-5.881293532891864	-5.599612536178374	-5.29165020935296	-5.356129750965377	-5.531256783372449	-5.558585610227472
COX5B	-8.52328706672791	-9.313759441494954	-8.556721591298244	-8.412578724075914	-8.474631515396846	-8.84573419442665	-9.10423721386242	-9.35993847481299	-9.015576187771154	-8.524007427931489	-9.067786032479207	-8.45837575548994	-8.744262483414124	-8.384628878643708
COX6	-7.45635605862691	-7.28360165116493	-7.164795118496414	-7.044880797366933	-6.941166791145972	-6.9787965844189275	-7.100244468930562	-7.2109287402332525	-7.10035658838508	-7.142565028561495	-6.696041112674487	-6.850711195088145	-6.982596728874825	-6.983437619602054
CCP1	-7.407096027176478	-7.781354256924316	-7.596649153034899	-7.689916950891099	-7.865423705882768	-8.293644157689492	-8.343382391175416	-7.610739820864066	-7.570737852976073	-7.534650361203824	-7.570568943678502	-7.572812647113199	-7.757649357367388	-7.636406952187333
SOD1	-5.956497229257521	-6.093965781837774	-5.947724797930153	-5.939628733926322	-6.010168439819485	-6.026935601010817	-5.924046223931485	-6.054716889019592	-6.4654168295062115	-5.839577963664124	-6.1432621369991125	-6.019771546086351	-6.227934746513191	-5.966067141593487
