Gene	count	mean	std	min	25_percentile	50_percentile	75_percentile	max	cv	noise	lin_slope	lin_r	spearmans_rho
rpoC	20.0	2.85053275163055	0.10531666104085567	2.629650036390966	2.782497559449674	2.8351459519210973	2.9371125128986497	3.0231853945131544	0.03694630801228748	0.001365029675738818	0.030382772722451604	0.008137789200917811	-0.05793831587487893
rpoB	20.0	2.943588167835311	0.07953159305956023	2.790295010122424	2.871348769340969	2.944272565840075	3.0146638470567497	3.0634420819479296	0.027018587018593387	0.0007300040444813031	0.08185377306049332	0.01655618741249763	-0.09480815324980188
acnB	20.0	3.40206323292242	0.2931695639315984	2.72728658208539	3.218350257151047	3.5023833661059576	3.645258875559464	3.778861374655524	0.0861740490578012	0.007425966731016328	-0.46544841950703114	-0.3470342908919512	-0.7915728350697745
purL	20.0	2.581040464143649	0.16309672223479135	1.9941403616019466	2.551702853185312	2.6223386094059182	2.654886202780116	2.811988268784671	0.06319030038488932	0.0039930140627325444	-1.878778586644214	-0.7792966043447617	-0.3671934824278041
gltB	20.0	2.5644511163603263	0.2613689557444272	1.86122027981613	2.5519522723332067	2.6565596302759324	2.7064246857512253	2.874572130261613	0.10192003820115038	0.010387694186923953	-1.1153445965361075	-0.7413870903282572	0.08051168569626033
aceE	20.0	3.1024437937289977	0.16598015255793508	2.808408817164234	3.0050770885525244	3.0937413500879325	3.1619032057954306	3.5777336358783494	0.053499809696289265	0.0028622296375391664	0.11380343650280067	0.048038947652033544	0.24078261142806828
adhE	20.0	3.1439452800732273	0.20110708874530897	2.8180804514480657	2.978065306269854	3.1621425834134347	3.246913362406614	3.589098024540884	0.06396647232378831	0.0040917095815499755	-0.9235029394004639	-0.47233226186675153	-0.25808886162446065
tufA	20.0	4.619400169319539	0.06117721395136926	4.518358595152653	4.572953891789777	4.62280373754026	4.652720490623416	4.727201914409675	0.013243540656574246	0.000175391369122335	4.641051012238864	0.7220844392992436	0.7125660406949396
metE	20.0	3.5408701862102325	0.44938720192676435	2.3132520304739543	3.515216856379099	3.666303350121135	3.7810394639606146	4.009951163448684	0.1269143397792112	0.016107249641593074	-0.5992972306578946	-0.684927998962743	0.35364946053497526
groL	20.0	3.7575935197198818	0.10821311122848626	3.616380439635266	3.695626439272358	3.739331779656734	3.7794960188182167	4.094658749961025	0.028798514437653504	0.0008293544338157373	1.7664806275241112	0.486150471984648	0.23626793746379202
carB	20.0	2.635698677095241	0.2932775352345344	1.6940426676305669	2.6263982473595164	2.7033866166729625	2.774491295055319	2.945282545576149	0.1112712685191126	0.01238129519785246	-1.047063567582844	-0.780969000507317	0.2641084269101624
pflB	20.0	3.113005225891217	0.09467161592814483	2.9240568102300846	3.073352465869039	3.1695454801345044	3.1806624821817873	3.2038537086035332	0.030411646964402846	0.0009248682710874728	-2.993118385496646	-0.7206520623261213	-0.7712568022305312
dnaK	20.0	3.6094082660509756	0.12582005461615822	3.464950310356078	3.5313213016415785	3.575031502235583	3.614901923406596	3.9319590995403635	0.03485891463140492	0.0012151439292795762	2.1818759084420805	0.6981710963752452	0.7185856059806413
infB	20.0	2.7911762661153707	0.07480732978393898	2.635804389688054	2.7611856812585893	2.79189164787125	2.834560680625135	2.925988328238206	0.026801363529811155	0.0007183130870570915	1.7332176766972436	0.3297457538593233	0.2031603283924326
ilvC	20.0	3.568264925523296	0.3769385965268937	2.468323885342781	3.549089910578087	3.657929057484608	3.7812351138087266	3.8976528442822445	0.10563638193753638	0.011159045188853063	-0.7436123868285747	-0.7128516739921227	0.3047404925886489
ppc	20.0	2.715227228459484	0.21844545376590388	2.18824591158019	2.5617294194764377	2.7635704378662713	2.8580431929495376	3.012576592980095	0.0804519973416153	0.006472523876255277	-0.9732237015585485	-0.540676678145268	0.15650869742824436
alaS	20.0	2.5860163494456274	0.06889970749384125	2.4743954649072255	2.5425558063940423	2.574100876606482	2.6133380951173613	2.752201980362311	0.026643183253118836	0.0007098592138592721	1.1258655878276624	0.1972812778750653	0.535741310427452
fusA	20.0	3.801736225728787	0.09490959672951249	3.6193142023768847	3.73558230894421	3.823897576242639	3.855818419638113	4.017594202365178	0.02496480320943846	0.000623241399285989	3.282554897361511	0.792326305988979	0.6764486489807293
glyS	20.0	2.7628154664364404	0.05232645321828124	2.695850474351518	2.719198519538964	2.7609207025162474	2.795302374690549	2.8927752142493297	0.018939539702871804	0.0003587061641566573	4.875873756786574	0.6488670190727168	0.5507902236417062
maeB	20.0	2.4561592903735314	0.2872574859426492	1.9684420948781662	2.358314307841373	2.4627603852928943	2.561414152227007	2.955370870758403	0.11695393172116425	0.013678222145038749	-0.4095593928478942	-0.2992059287958251	-0.7155758233377904
rpsA	20.0	3.581105125975836	0.11041284921400638	3.44681334595809	3.4819897190528875	3.588220574732577	3.649169938900821	3.892208991011569	0.030832060308176333	0.0009506159428470225	2.961736668112213	0.8316642023263277	0.7870581611054982
leuS	20.0	2.51895984047873	0.04061328720194802	2.404666088555012	2.4996318834254136	2.524486007059841	2.5393123556411163	2.602227531372648	0.016123038783432703	0.00025995237961207515	0.37839052229469006	0.03908322036296863	0.16177581705323338
thrA	20.0	2.9387560720928336	0.26334459344215466	2.3991564761112483	2.7693338753538885	2.959321812719159	3.061476679961004	3.38713307005049	0.08961090576483742	0.008030114431994572	-0.6613068604860415	-0.4429037769588572	0.18660652385675291
