	Sample ID	Study	Project ID	Condition ID	Strain Description	Strain	Base Media	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Antibiotic	Culture Type	Evolved Sample	Isolate Type	Sequencing Machine	Additional Details	DOI	GEO	Simple_sample_id	Temperature (C)	pH	Growth Rate (1/hr)	Alignment	Replicate #	Doubling_time
4	fur__wt_fe__1	Fur	fur	wt_fe	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		FeCl2 (0.1mM)		Batch	No		MiSeq		doi.org/10.1038/ncomms5910	GSE54900	fur__wt_fe	37	7.0	1.060606061	92.865	2	0.6535387699994911
8	fur__delfur_fe2__1	Fur	fur	delfur_fe2	Escherichia coli K-12 MG1655 del_fur	MG1655	M9	glucose(2)	NH4Cl(1)	O2		FeCl2 (0.1mM)	Kanamycin	Batch	No		MiSeq		doi.org/10.1038/ncomms5910	GSE54900	fur__delfur_fe2	37	7.0	0.619469027	93.02	2	1.1189375906601144
55	omics__bw_ac__1	Omics	omics	bw_ac	Escherichia coli BW25113	BW25113	M9	acetate(3.5)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)		Batch	No		MiSeq		doi.org/10.1038/ncomms13091	GSE59759	omics__bw_ac	37	7.0	0.203	97.92	2	3.414518130837169
57	omics__bw_fum__1	Omics	omics	bw_fum	Escherichia coli BW25113	BW25113	M9	fumarate(2.8)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)		Batch	No		MiSeq		doi.org/10.1038/ncomms13091	GSE59759	omics__bw_fum	37	7.0	0.309	98.13	2	2.243194759093674
59	omics__bw_glc__1	Omics	omics	bw_glc	Escherichia coli BW25113	BW25113	M9	glucose(5)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)		Batch	No		MiSeq		doi.org/10.1038/ncomms13091	GSE59759	omics__bw_glc	37	7.0	0.6075	97.875	2	1.1409830132673995
61	omics__bw_pyr__1	Omics	omics	bw_pyr	Escherichia coli BW25113	BW25113	M9	pyruvate(3.3)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)		Batch	No		MiSeq		doi.org/10.1038/ncomms13091	GSE59759	omics__bw_pyr	37	7.0	0.3726	97.475	2	1.8602983911968474
81	cra_crp__wt_ac__1	Cra/Crp	cra_crp	wt_ac	Escherichia coli K-12 MG1655	MG1655	M9	acetate(2)	NH4Cl(1)	O2	aebersold trace element mixture			Batch	No		MiSeq		doi.org/10.1093/nar/gky069	GSE65643	cra_crp__wt_ac	37	7.0	0.25	96.19	2	2.772588722239781
83	cra_crp__wt_fru__1	Cra/Crp	cra_crp	wt_fru	Escherichia coli K-12 MG1655	MG1655	M9	fructose(2)	NH4Cl(1)	O2	aebersold trace element mixture			Batch	No		MiSeq		doi.org/10.1093/nar/gky069	GSE65643	cra_crp__wt_fru	37	7.0	0.53	97.68	2	1.3078248689810288
85	cra_crp__delcra_ac__1	Cra/Crp	cra_crp	delcra_ac	Escherichia coli K-12 MG1655 del_cra	MG1655	M9	acetate(2)	NH4Cl(1)	O2	aebersold trace element mixture		Kanamycin	Batch	No		MiSeq		doi.org/10.1093/nar/gky069	GSE65643	cra_crp__delcra_ac	37	7.0	0.08	98.63499999999999	2	8.664339756999317
87	cra_crp__delcra_fru__1	Cra/Crp	cra_crp	delcra_fru	Escherichia coli K-12 MG1655 del_cra	MG1655	M9	fructose(2)	NH4Cl(1)	O2	aebersold trace element mixture		Kanamycin	Batch	No		MiSeq		doi.org/10.1093/nar/gky069	GSE65643	cra_crp__delcra_fru	37	7.0	0.69	98.71000000000001	2	1.0045611312462976
89	cra_crp__delcra_glc__1	Cra/Crp	cra_crp	delcra_glc	Escherichia coli K-12 MG1655 del_cra	MG1655	M9	glucose(2)	NH4Cl(1)	O2	aebersold trace element mixture		Kanamycin	Batch	No		MiSeq		doi.org/10.1093/nar/gky069	GSE65643	cra_crp__delcra_glc	37	7.0	0.67	98.71	2	1.0345480306864854
93	rpoB__wt_lb__1	RpoB Knock-in	rpoB	wt_lb	Escherichia coli K-12 MG1655	MG1655	LB			O2				Batch	No		MiSeq		doi.org/10.1016/j.cels.2016.04.003	GSE59377	rpoB__wt_lb	37	7.0	1.42	98.38499999999999	2	0.4881318172957361
97	rpoB__rpoBE546V_lb__1	RpoB Knock-in	rpoB	rpoBE546V_lb	Escherichia coli K-12 MG1655 rpoBE546V	MG1655	LB			O2			Kanamycin	Batch	No		MiSeq		doi.org/10.1016/j.cels.2016.04.003	GSE59377	rpoB__rpoBE546V_lb	37	7.0	1.34	98.57499999999999	2	0.5172740153432427
99	rpoB__rpoBE546V_glc__1	RpoB Knock-in	rpoB	rpoBE546V_glc	Escherichia coli K-12 MG1655 rpoBE546V	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		MiSeq		doi.org/10.1016/j.cels.2016.04.003	GSE59377	rpoB__rpoBE546V_glc	37	7.0	0.85	87.63	1	0.8154672712469945
100	rpoB__rpoBE672K_glc__1	RpoB Knock-in	rpoB	rpoBE672K_glc	Escherichia coli K-12 MG1655 rpoBE672K	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		Kanamycin	Batch	No		MiSeq		doi.org/10.1016/j.cels.2016.04.003	GSE59377	rpoB__rpoBE672K_glc	37	7.0	0.88	97.22	2	0.7876672506363015
102	rpoB__rpoBE672K_lb__1	RpoB Knock-in	rpoB	rpoBE672K_lb	Escherichia coli K-12 MG1655 rpoBE672K	MG1655	LB			O2			Kanamycin	Batch	No		MiSeq		doi.org/10.1016/j.cels.2016.04.003	GSE59377	rpoB__rpoBE672K_lb	37	7.0	1.4	98.53999999999999	2	0.49510512897138953
124	glu__glu_ale3__1	Glucose Evolution	glu	glu_ale3	Escherichia coli GLU.3.412.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A3 F412 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale3	37	7.0	1.01	98.88	1	0.6862843371880646
125	glu__glu_ale4__1	Glucose Evolution	glu	glu_ale4	Escherichia coli GLU.4.403.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A4 F403 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale4	37	7.0	0.98	98.94	1	0.7072930413876993
126	glu__glu_ale5__1	Glucose Evolution	glu	glu_ale5	Escherichia coli GLU.5.288.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A5 F288 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale5	37	7.0	1.01	98.99	1	0.6862843371880646
127	glu__glu_ale6__1	Glucose Evolution	glu	glu_ale6	Escherichia coli GLU.6.406.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A6 F406 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale6	37	7.0	1.0	98.06	1	0.6931471805599453
128	glu__glu_ale8__1	Glucose Evolution	glu	glu_ale8	Escherichia coli GLU.8.380.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A8 F380 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale8	37	7.0	0.99	96.96	1	0.700148667232268
129	glu__glu_ale9__1	Glucose Evolution	glu	glu_ale9	Escherichia coli GLU.9.433.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A9 F422 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale9	37	7.0	1.01	97.96	1	0.6862843371880646
130	glu__glu_ale10__1	Glucose Evolution	glu	glu_ale10	Escherichia coli GLU.10.418.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	GLU A10 F418 I1	doi.org/10.1128/AEM.02246-14	GSE61327	glu__glu_ale10	37	7.0	1.02	98.42	1	0.6795560593724954
131	42c__wt_42c__1	42C Evolution	42c	wt_42c	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		MiSeq		doi.org/10.1093/molbev/msu209	GSE132442	42c__wt_42c	42	7.0	0.82	98.37	1	0.8453014397072504
132	42c__42c_ale1__1	42C Evolution	42c	42c_ale1	Escherichia coli 42C.1.124.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A1 F124 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale1	42	7.0	0.95	98.4	1	0.729628611115732
133	42c__42c_ale2__1	42C Evolution	42c	42c_ale2	Escherichia coli 42C.2.163.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A2 F163 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale2	42	7.0	0.97	97.51	1	0.7145847222267477
134	42c__42c_ale3__1	42C Evolution	42c	42c_ale3	Escherichia coli 42C.3.120.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A3 F120 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale3	42	7.0	0.92	97.13	1	0.7534208484347231
135	42c__42c_ale4__1	42C Evolution	42c	42c_ale4	Escherichia coli 42C.4.161.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A4 F161 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale4	42	7.0	1.03	97.07	1	0.6729584277281022
136	42c__42c_ale5__1	42C Evolution	42c	42c_ale5	Escherichia coli 42C.5.125.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A5 F125 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale5	42	7.0	0.94	97.06	1	0.7373906176169631
137	42c__42c_ale6__1	42C Evolution	42c	42c_ale6	Escherichia coli 42C.6.164.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A6 F164 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale6	42	7.0	0.97	97.77	1	0.7145847222267477
138	42c__42c_ale8__1	42C Evolution	42c	42c_ale8	Escherichia coli 42C.8.164.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A8 F164 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale8	42	7.0	0.95	97.04	1	0.729628611115732
139	42c__42c_ale9__1	42C Evolution	42c	42c_ale9	Escherichia coli 42C.9.131.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A9 F131 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale9	42	7.0	0.92	96.38	1	0.7534208484347231
140	42c__42c_ale10__1	42C Evolution	42c	42c_ale10	Escherichia coli 42C.10.153.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	MiSeq	42C A10 F153 I1	doi.org/10.1093/molbev/msu209	GSE132442	42c__42c_ale10	42	7.0	0.98	96.91	1	0.7072930413876993
141	ssw__wt_ac__1	Substrate-switching Evolution	ssw	wt_ac	Escherichia coli K-12 MG1655	MG1655	M9	acetate(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		HiSeq 2000		doi.org/10.1128/AEM.00410-17	GSE97944	ssw__wt_ac	37	7.0	0.27	98.19	1	2.567211779851649
142	ssw__wt_glc__1	Substrate-switching Evolution	ssw	wt_glc	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		HiSeq 2000		doi.org/10.1128/AEM.00410-17	GSE97944	ssw__wt_glc	37	7.0	0.73	95.37	1	0.9495166856985552
143	ssw__wt_glyc__1	Substrate-switching Evolution	ssw	wt_glyc	Escherichia coli K-12 MG1655	MG1655	M9	glycerol(2.5)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		HiSeq 2000		doi.org/10.1128/AEM.00410-17	GSE97944	ssw__wt_glyc	37	7.0	0.45	98.01	1	1.5403270679109895
144	ssw__wt_xyl__1	Substrate-switching Evolution	ssw	wt_xyl	Escherichia coli K-12 MG1655	MG1655	M9	xylose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	No		HiSeq 2000		doi.org/10.1128/AEM.00410-17	GSE97944	ssw__wt_xyl	37	7.0	0.55	97.99	1	1.2602676010180822
150	ssw__xyl_ale1__1	Substrate-switching Evolution	ssw	xyl_ale1	Escherichia coli SSW_XYL.1.20.1	MG1655	M9	xylose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW XYL A1 F20 I1	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__xyl_ale1	37	7.0	0.761	98.15	1	0.9108372937712815
151	ssw__xyl_ale2__1	Substrate-switching Evolution	ssw	xyl_ale2	Escherichia coli SSW_XYL.2.20.1	MG1655	M9	xylose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW XYL A2 F20 I1	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__xyl_ale2	37	7.0	0.735	98.31	1	0.9430573885169323
152	ssw__xyl_ale3__1	Substrate-switching Evolution	ssw	xyl_ale3	Escherichia coli SSW_XYL.3.20.1	MG1655	M9	xylose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW XYL A3 F20 I1	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__xyl_ale3	37	7.0	0.705	98.06	1	0.9831874901559509
153	ssw__glc_ac_ac2__1	Substrate-switching Evolution	ssw	glc_ac_ac2	Escherichia coli SSW_GLU_AC.9.92.4	MG1655	M9	acetate(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW GLU AC A9 F92 I4	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__glc_ac_ac2	37	7.0	0.386	98.1	1	1.7957180843521898
155	ssw__glc_ac_glc2__1	Substrate-switching Evolution	ssw	glc_ac_glc2	Escherichia coli SSW_GLU_AC.9.92.4	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW GLU AC A9 F92 I4	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__glc_ac_glc2	37	7.0	0.902	98.06	1	0.7684558542793185
156	ssw__glc_glyc_glc__1	Substrate-switching Evolution	ssw	glc_glyc_glc	Escherichia coli SSW_GLU_GLY.4.165.2	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW GLU GLY A4 F165 I2	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__glc_glyc_glc	37	7.0	0.932	98.34	1	0.7437201508153919
157	ssw__glc_glyc_glyc__1	Substrate-switching Evolution	ssw	glc_glyc_glyc	Escherichia coli SSW_GLU_GLY.4.165.2	MG1655	M9	glycerol(2.5)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW GLU GLY A4 F165 I2	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__glc_glyc_glyc	37	7.0	0.845	97.8	1	0.8202925213727164
158	ssw__glc_xyl_glc__1	Substrate-switching Evolution	ssw	glc_xyl_glc	Escherichia coli SSW_GLU_XYL.2.165.1	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW GLU GLY A2 F165 I1	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__glc_xyl_glc	37	7.0	0.956	98.26	1	0.725049352050152
159	ssw__glc_xyl_xyl__1	Substrate-switching Evolution	ssw	glc_xyl_xyl	Escherichia coli SSW_GLU_XYL.2.165.1	MG1655	M9	xylose(4)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal	HiSeq 2000	SSW GLU XYL A2 F165 I1	doi.org/10.1128/AEM.00410-17	GSE97944	ssw__glc_xyl_xyl	37	7.0	0.745	98.13	1	0.9303989000804634
160	pgi__glu4_delpgi__1	PGI KO Evolution	pgi	glu4_delpgi	Escherichia coli GLU.4.403.1 del_pgi	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		GLU A4 F403 I1 w/ pgi KO	doi.org/10.1128/AEM.00823-18		pgi__glu4_delpgi	37	7.0	0.18	93.97	1	3.850817669777474
161	pgi__pgi_ale1__1	PGI KO Evolution	pgi	pgi_ale1	Escherichia coli PGI.1	MG1655	M9	glucose(2)	NH4Cl(1)	O2	sauer trace element mixture			Batch	Endpoint	Clonal		CCK PGI A1 F113 I1	doi.org/10.1128/AEM.00823-18		pgi__pgi_ale1	37	7.0	0.67	92.57	1	1.0345480306864854
