	Sample	Nitrogen source	dilution rate (/h)	glucose.H2O concentration (g/L)	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	extra notes	Simple_sample_id	total RNA content (g/gDW)	total protein content (g/gDW)	Doubling_time	Growth Rate (1/hr)
0	1	NH4	0.05	7.5	0.5	N	30	GR		NH4_0.05_7.5_0.5	0.024168666666666668	0.26147710713333333	13.862943611198904	0.05
3	4	NH4	0.1	7.5	5.0	C	3	NM		NH4_0.1_7.5_5.0	0.049999999999999996	0.3580244524	6.931471805599452	0.1
6	7	NH4	0.1	7.5	0.5	N	30	GR, NM		NH4_0.1_7.5_0.5	0.025297333333333328	0.22557316666666663	6.931471805599452	0.1
9	10	NH4	0.13	7.5	0.5	N	30	GR		NH4_0.13_7.5_0.5	0.025831333333333335	0.2756864404666667	5.331901388922656	0.13
12	13	NH4	0.18	7.5	0.5	N	30	GR		NH4_0.18_7.5_0.5	0.038539	0.28647030953333336	3.850817669777474	0.18
15	16	NH4	0.3	7.5	0.5	N	30	GR		NH4_0.3_7.5_0.5	0.04821866666666667	0.41448117856666666	2.3104906018664844	0.3
18	19	NH4	0.35	7.5	0.5	N	30	GR		NH4_0.35_7.5_0.5	0.07749400000000001	0.4943136371666667	1.9804205158855581	0.35
21	22	Gln	0.1	7.5	5.53	C	5	NM	"labeled ""Q"" or ""Gln"""	Gln_0.1_7.5_5.53	0.06472699999999999	0.5586044166666667	6.931471805599452	0.1
24	25	Gln	0.1	1.21	5.53	C	3	NM	"labeled ""Q*"" or ""Gln*"""	Gln_0.1_1.21_5.53	0.054037999999999996	0.3877118095	6.931471805599452	0.1
27	28	Gln	0.1	6.87	0.55	N	30	NM		Gln_0.1_6.87_0.55	0.022149666666666665	0.30676935713333336	6.931471805599452	0.1
30	31	Phe	0.1	7.5	12.35	C	3	NM		Phe_0.1_7.5_12.35	0.019358666666666666	0.46586314286666664	6.931471805599452	0.1
33	34	Phe	0.1	7.5	1.24	N	30	NM		Phe_0.1_7.5_1.24	0.024228	0.3984956785666667	6.931471805599452	0.1
36	37	Ile	0.1	7.5	9.81	C	3	NM		Ile_0.1_7.5_9.81	0.031532	0.35700949996666664	6.931471805599452	0.1
39	40	Ile	0.1	7.5	0.98	N	30	NM		Ile_0.1_7.5_0.98	0.023812	0.43731760713333334	6.931471805599452	0.1
