locus_tag	hyphy_rp75_enterobacterales	hyphy_rp75_enterobacteriacaea	codeml_dn_rp75_enterobacterales	codeml_ds_rp75_enterobacterales	codeml_dnds_rp75_enterobacterales	codeml_dn_rp75_enterobacteriacaea	codeml_ds_rp75_enterobacteriacaea	codeml_dnds_rp75_enterobacteriacaea
b3242	0.06185664858990629	0.04173321018296315	0.019432394366197186	0.4302	0.04519999999999994	0.008913513513513513	0.25416486486486484	0.035099999999999985
b3847	0.0686491750346124	0.04464125856124108	0.018641095890410957	0.28694109589041095	0.06490000000000003	0.007812195121951217	0.19345609756097562	0.0404
b3712	0.112357028355257	0.1071736106194241	0.062284507042253495	0.5730704225352112	0.10869999999999987	0.03746341463414634	0.36506829268292673	0.10259999999999991
b2216	0.1207501865114593	0.1016212827061356	0.04452933333333333	0.4169213333333334	0.10679999999999985	0.021724390243902436	0.23529756097560975	0.09229999999999994
b1834	0.08487372937086803	0.06498167874685642	0.027663013698630133	0.3413534246575342	0.08100000000000011	0.015865853658536586	0.25165853658536586	0.063
b2255	0.100968043615935	0.09231094339265228	0.02673283582089552	0.27199253731343276	0.09830000000000004	0.02113142857142857	0.2371657142857143	0.08910000000000004
b1220	0.1391576263523959	0.1161408222922883	0.05261639344262296	0.4375032786885246	0.1203000000000001	0.03535897435897436	0.3586	0.09859999999999991
b3388	0.1591277758763193	0.1509491381327045	0.05595066666666666	0.37131333333333333	0.15070000000000003	0.02990731707317072	0.20658048780487803	0.1448
b1831	0.1043336479086804	0.07585317350724807	0.019233766233766228	0.1864207792207793	0.10320000000000012	0.009674418604651163	0.12933255813953484	0.07480000000000006
b3940	0.05534689629135133	0.0448079031471865	0.012271428571428574	0.22577142857142862	0.0543999999999999	0.007202325581395348	0.17011162790697676	0.0423
b3888	0.04713501746754133	0.03278094977241793	0.011868493150684927	0.2696438356164383	0.044000000000000025	0.007100000000000002	0.2359951219512195	0.03010000000000001
b4216	0.1208192587420988	0.109699108824698	0.03353650793650792	0.31273492063492064	0.10719999999999993	0.021243902439024392	0.21019756097560977	0.101
b2831	0.08038841118008437	0.06512373878056534	0.024588311688311687	0.309835064935065	0.07939999999999993	0.017858139534883723	0.2768046511627907	0.06449999999999995
b1626	0.1238963624181699	0.1135403773020572	0.048427536231884054	0.45324347826086964	0.10679999999999985	0.03450243902439025	0.33822926829268296	0.10199999999999997
b1921	0.09701377396715571		0.035241791044776136	0.4401044776119402	0.08009999999999992			
b2294	0.05251743437831362	0.04644184454977024	0.01301142857142857	0.3187128571428572	0.04079999999999996	0.008504761904761902	0.24991190476190472	0.03410000000000001
b0477	0.06403130209184665	0.04679568658879486	0.013992647058823528	0.23872941176470597	0.058600000000000096	0.008449999999999997	0.20296000000000008	0.04160000000000002
b0412	0.1377622034286372	0.1164250662090998	0.06630985915492957	0.5084197183098593	0.1303999999999999	0.03784651162790698	0.3605906976744186	0.10500000000000004
b0950	0.09333913521688222	0.06986381924557022	0.029093243243243236	0.37728783783783776	0.07709999999999996	0.015745	0.2592399999999999	0.06079999999999998
b1205	0.08254015213881288	0.04045466942790348	0.03180800000000001	0.4306813333333333	0.07390000000000005	0.010468292682926829	0.2628975609756097	0.039800000000000044
b1836	0.07912237146444635	0.0	0.03316	0.48317666666666653	0.0686	0.013944999999999999	0.2058425	0.06780000000000004
b0858	0.1361196528383593	0.1171352736768364	0.05829295774647886	0.476830985915493	0.12220000000000007	0.026443589743589742	0.26723333333333327	0.0989
b1273	0.08595167038531577	0.04718600901912046	0.036317910447761184	0.5224805970149254	0.06950000000000003	0.016302564102564105	0.3752794871794871	0.04340000000000004
b2597	0.0849303884813246	0.07072216025253283	0.014807042253521132	0.18995070422535204	0.07800000000000003	0.007665789473684211	0.11947631578947368	0.06420000000000002
b2670	0.09235428841111885	0.07123209437997606	0.04302711864406781	0.5620694915254238	0.07649999999999993	0.021682926829268295	0.3532048780487805	0.06139999999999994
b4359	0.09105761535761603	0.06977341154430136	0.029409836065573767	0.37647377049180336	0.07810000000000004	0.014604651162790703	0.23882558139534882	0.06119999999999996
